,avgGas,timestamp,samples,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,token_name
0,419862.8728999999,2022-03-13T12:55:41.869Z,30,2.58,2.57,2.56,2.58,0.0005957854166451002,0.0005934761708441501,0.0005911669250432002,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
1,419862.8728999999,2022-03-13T12:26:29.138Z,29,2.57,2.6,2.57,2.6,0.0005934761708441501,0.0006004039082470001,0.0005934761708441501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
2,419862.8728999999,2022-03-13T11:56:27.642Z,30,2.6,2.59,2.59,2.6,0.0006004039082470001,0.0005980946624460501,0.0005980946624460501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
3,419862.8728999999,2022-03-13T11:26:26.160Z,30,2.59,2.61,2.59,2.61,0.0005980946624460501,0.0006027131540479501,0.0005980946624460501,0.0006027131540479501,0.11,0.55,0.1,0.55,celo
4,419862.8728999999,2022-03-13T10:56:24.982Z,30,2.61,2.6,2.6,2.63,0.0006027131540479501,0.0006004039082470001,0.0006004039082470001,0.0006073316456498502,0.11,0.55,0.1,0.55,celo
5,419862.8728999999,2022-03-13T10:26:23.251Z,30,2.6,2.6,2.6,2.61,0.0006004039082470001,0.0006004039082470001,0.0006004039082470001,0.0006027131540479501,0.11,0.55,0.1,0.55,celo
6,419862.8728999999,2022-03-13T09:56:21.844Z,30,2.6,2.59,2.59,2.61,0.0006004039082470001,0.0005980946624460501,0.0005980946624460501,0.0006027131540479501,0.11,0.55,0.1,0.55,celo
7,419862.8728999999,2022-03-13T09:26:19.311Z,30,2.59,2.6,2.59,2.6,0.0005980946624460501,0.0006004039082470001,0.0005980946624460501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
8,419862.8728999999,2022-03-13T08:56:17.911Z,30,2.6,2.61,2.6,2.61,0.0006004039082470001,0.0006027131540479501,0.0006004039082470001,0.0006027131540479501,0.11,0.55,0.1,0.55,celo
9,419862.8728999999,2022-03-13T08:26:16.701Z,30,2.61,2.63,2.61,2.63,0.0006027131540479501,0.0006073316456498502,0.0006027131540479501,0.0006073316456498502,0.11,0.55,0.1,0.55,celo
10,419862.8728999999,2022-03-13T07:56:15.570Z,30,2.63,2.65,2.63,2.65,0.0006073316456498502,0.0006119501372517501,0.0006073316456498502,0.0006119501372517501,0.11,0.55,0.1,0.55,celo
11,419862.8728999999,2022-03-13T07:26:12.229Z,30,2.65,2.63,2.63,2.65,0.0006119501372517501,0.0006073316456498502,0.0006073316456498502,0.0006119501372517501,0.11,0.55,0.1,0.55,celo
12,419862.8728999999,2022-03-13T06:56:10.818Z,30,2.63,2.63,2.63,2.63,0.0006073316456498502,0.0006073316456498502,0.0006073316456498502,0.0006073316456498502,0.11,0.55,0.1,0.55,celo
13,419862.8728999999,2022-03-13T06:26:09.001Z,30,2.63,2.58,2.58,2.64,0.0006073316456498502,0.0005957854166451002,0.0005957854166451002,0.0006096408914508002,0.11,0.55,0.1,0.55,celo
14,419862.8728999999,2022-03-13T05:56:07.601Z,30,2.58,2.57,2.56,2.58,0.0005957854166451002,0.0005934761708441501,0.0005911669250432002,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
15,419862.8728999999,2022-03-13T05:26:06.111Z,30,2.57,2.57,2.57,2.58,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
16,419862.8728999999,2022-03-13T04:56:04.739Z,30,2.57,2.58,2.57,2.58,0.0005934761708441501,0.0005957854166451002,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
17,419862.8728999999,2022-03-13T04:25:41.798Z,30,2.58,2.59,2.58,2.59,0.0005957854166451002,0.0005980946624460501,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
18,419862.8728999999,2022-03-13T03:55:40.566Z,30,2.59,2.57,2.57,2.59,0.0005980946624460501,0.0005934761708441501,0.0005934761708441501,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
19,419862.8728999999,2022-03-13T03:25:39.021Z,30,2.57,2.57,2.57,2.57,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
20,419862.8728999999,2022-03-13T02:56:37.111Z,29,2.57,2.56,2.56,2.57,0.0005934761708441501,0.0005911669250432002,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
21,419862.8728999999,2022-03-13T02:26:35.422Z,30,2.56,2.57,2.56,2.57,0.0005911669250432002,0.0005934761708441501,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
22,419862.8728999999,2022-03-13T01:56:33.509Z,30,2.57,2.56,2.56,2.57,0.0005934761708441501,0.0005911669250432002,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
23,419862.8728999999,2022-03-13T01:26:30.504Z,30,2.56,2.58,2.56,2.58,0.0005911669250432002,0.0005957854166451002,0.0005911669250432002,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
24,419862.8728999999,2022-03-13T00:56:28.363Z,30,2.58,2.57,2.56,2.58,0.0005957854166451002,0.0005934761708441501,0.0005911669250432002,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
25,419862.8728999999,2022-03-13T00:26:26.341Z,30,2.57,2.57,2.57,2.58,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
26,419862.8728999999,2022-03-12T23:56:24.968Z,30,2.57,2.55,2.55,2.57,0.0005934761708441501,0.00058885767924225,0.00058885767924225,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
27,419862.8728999999,2022-03-12T23:26:23.117Z,30,2.55,2.55,2.54,2.55,0.00058885767924225,0.00058885767924225,0.0005865484334413001,0.00058885767924225,0.11,0.55,0.1,0.55,celo
28,419862.8728999999,2022-03-12T22:56:21.945Z,30,2.55,2.55,2.55,2.55,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.11,0.55,0.1,0.55,celo
29,419862.8728999999,2022-03-12T22:26:17.772Z,30,2.55,2.55,2.55,2.55,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.11,0.55,0.1,0.55,celo
30,419862.8728999999,2022-03-12T21:56:15.798Z,30,2.55,2.55,2.54,2.55,0.00058885767924225,0.00058885767924225,0.0005865484334413001,0.00058885767924225,0.11,0.55,0.1,0.55,celo
31,419862.8728999999,2022-03-12T21:26:13.295Z,30,2.55,2.55,2.55,2.55,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.11,0.55,0.1,0.55,celo
32,419862.8728999999,2022-03-12T20:56:08.900Z,30,2.55,2.55,2.55,2.55,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.11,0.55,0.1,0.55,celo
33,419862.8728999999,2022-03-12T20:26:06.060Z,30,2.55,2.55,2.55,2.55,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.00058885767924225,0.11,0.55,0.1,0.55,celo
34,419862.8728999999,2022-03-12T19:56:03.237Z,30,2.55,2.54,2.54,2.55,0.00058885767924225,0.0005865484334413001,0.0005865484334413001,0.00058885767924225,0.11,0.55,0.1,0.55,celo
35,419862.8728999999,2022-03-12T19:26:33.163Z,29,2.54,2.54,2.54,2.55,0.0005865484334413001,0.0005865484334413001,0.0005865484334413001,0.00058885767924225,0.11,0.55,0.1,0.55,celo
36,419862.8728999999,2022-03-12T18:56:31.634Z,30,2.54,2.55,2.54,2.55,0.0005865484334413001,0.00058885767924225,0.0005865484334413001,0.00058885767924225,0.11,0.55,0.1,0.55,celo
37,419862.8728999999,2022-03-12T18:26:29.624Z,30,2.55,2.56,2.55,2.56,0.00058885767924225,0.0005911669250432002,0.00058885767924225,0.0005911669250432002,0.11,0.55,0.1,0.55,celo
38,419862.8728999999,2022-03-12T17:56:28.188Z,30,2.56,2.55,2.55,2.56,0.0005911669250432002,0.00058885767924225,0.00058885767924225,0.0005911669250432002,0.11,0.55,0.1,0.55,celo
39,419862.8728999999,2022-03-12T17:26:26.724Z,30,2.55,2.58,2.55,2.58,0.00058885767924225,0.0005957854166451002,0.00058885767924225,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
40,419862.8728999999,2022-03-12T16:56:25.409Z,30,2.58,2.57,2.57,2.58,0.0005957854166451002,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
41,419862.8728999999,2022-03-12T16:26:21.482Z,30,2.57,2.57,2.56,2.57,0.0005934761708441501,0.0005934761708441501,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
42,419862.8728999999,2022-03-12T15:56:19.726Z,30,2.57,2.58,2.57,2.58,0.0005934761708441501,0.0005957854166451002,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
43,419862.8728999999,2022-03-12T15:26:18.070Z,30,2.58,2.56,2.56,2.58,0.0005957854166451002,0.0005911669250432002,0.0005911669250432002,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
44,419862.8728999999,2022-03-12T14:56:16.451Z,30,2.56,2.54,2.54,2.56,0.0005911669250432002,0.0005865484334413001,0.0005865484334413001,0.0005911669250432002,0.11,0.55,0.1,0.55,celo
45,419862.8728999999,2022-03-12T14:26:14.868Z,30,2.54,2.57,2.54,2.57,0.0005865484334413001,0.0005934761708441501,0.0005865484334413001,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
46,419862.8728999999,2022-03-12T13:56:13.657Z,30,2.57,2.57,2.57,2.57,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
47,419862.8728999999,2022-03-12T13:26:08.647Z,30,2.57,2.57,2.57,2.58,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
48,419862.8728999999,2022-03-12T12:56:07.263Z,30,2.57,2.57,2.57,2.58,0.0005934761708441501,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
49,419862.8728999999,2022-03-12T12:26:05.930Z,30,2.57,2.56,2.56,2.57,0.0005934761708441501,0.0005911669250432002,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
50,419862.8728999999,2022-03-12T11:56:04.510Z,30,2.56,2.57,2.56,2.57,0.0005911669250432002,0.0005934761708441501,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
51,419862.8728999999,2022-03-12T11:26:03.256Z,30,2.57,2.59,2.57,2.59,0.0005934761708441501,0.0005980946624460501,0.0005934761708441501,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
52,419862.8728999999,2022-03-12T10:56:01.589Z,30,2.59,2.59,2.58,2.59,0.0005980946624460501,0.0005980946624460501,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
53,419862.8728999999,2022-03-12T10:25:42.834Z,30,2.59,2.58,2.58,2.59,0.0005980946624460501,0.0005957854166451002,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
54,419862.8728999999,2022-03-12T09:55:41.379Z,30,2.58,2.58,2.58,2.59,0.0005957854166451002,0.0005957854166451002,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
55,419862.8728999999,2022-03-12T09:26:38.897Z,29,2.58,2.58,2.58,2.59,0.0005957854166451002,0.0005957854166451002,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
56,419862.8728999999,2022-03-12T08:56:36.682Z,30,2.58,2.57,2.57,2.58,0.0005957854166451002,0.0005934761708441501,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
57,419862.8728999999,2022-03-12T08:26:35.401Z,30,2.57,2.56,2.56,2.57,0.0005934761708441501,0.0005911669250432002,0.0005911669250432002,0.0005934761708441501,0.11,0.55,0.1,0.55,celo
58,419862.8728999999,2022-03-12T07:56:33.609Z,30,2.56,2.58,2.56,2.59,0.0005911669250432002,0.0005957854166451002,0.0005911669250432002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
59,419862.8728999999,2022-03-12T07:26:26.224Z,30,2.58,2.58,2.58,2.59,0.0005957854166451002,0.0005957854166451002,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
60,419862.8728999999,2022-03-12T06:56:23.995Z,30,2.58,2.59,2.58,2.59,0.0005957854166451002,0.0005980946624460501,0.0005957854166451002,0.0005980946624460501,0.11,0.55,0.1,0.55,celo
61,419862.8728999999,2022-03-12T06:26:22.379Z,30,2.59,2.6,2.59,2.6,0.0005980946624460501,0.0006004039082470001,0.0005980946624460501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
62,419862.8728999999,2022-03-12T05:56:20.878Z,30,2.6,2.6,2.59,2.6,0.0006004039082470001,0.0006004039082470001,0.0005980946624460501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
63,419862.8728999999,2022-03-12T05:26:19.097Z,30,2.6,2.59,2.59,2.6,0.0006004039082470001,0.0005980946624460501,0.0005980946624460501,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
64,419862.8728999999,2022-03-12T04:56:17.528Z,30,2.59,2.6,2.58,2.6,0.0005980946624460501,0.0006004039082470001,0.0005957854166451002,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
65,419862.8728999999,2022-03-12T04:26:07.659Z,30,2.6,2.58,2.58,2.6,0.0006004039082470001,0.0005957854166451002,0.0005957854166451002,0.0006004039082470001,0.11,0.55,0.1,0.55,celo
66,419862.8728999999,2022-03-12T03:56:06.077Z,30,2.58,2.58,2.57,2.58,0.0005957854166451002,0.0005957854166451002,0.0005934761708441501,0.0005957854166451002,0.11,0.55,0.1,0.55,celo
