,avgGas,timestamp,samples,tokenPrice_open,tokenPrice_close,tokenPrice_low,tokenPrice_high,txFee_open,txFee_close,txFee_low,txFee_high,gasPrice_open,gasPrice_close,gasPrice_low,gasPrice_high,token_name
0,524249875.28397685,2024-05-01T12:55:51.135Z,30,1.35,1.35,1.35,1.35,0.014312853470713503,0.013941601132913102,0.011980830467798102,0.020119402952982902,0.02,0.02,0.02,0.025,mantle
1,529958252.21707004,2024-05-01T12:25:49.447Z,30,1.35,1.35,1.35,1.35,0.012561780544025403,0.013832324830341905,0.012227970199965302,0.019863235520636402,0.02,0.02,0.02,0.12,mantle
2,563621391.5211234,2024-05-01T11:55:47.833Z,30,1.35,1.35,1.35,1.35,0.013467750870114,0.013907612126993402,0.011872616764480202,0.03862822760668261,0.02,0.02,0.02,0.0444,mantle
3,538368069.5096432,2024-05-01T11:25:46.267Z,30,1.35,1.35,1.35,1.35,0.013588954412355003,0.0138239484002703,0.012196113920921701,0.0864552512995654,0.02,0.02,0.02,0.0689,mantle
4,501780263.4239332,2024-05-01T10:55:44.578Z,30,1.35,1.35,1.35,1.35,0.014454105257349904,0.012686421176154901,0.011237556497013901,0.0170228580798303,0.02,0.02,0.02,0.12,mantle
5,525279352.0888633,2024-05-01T10:25:42.981Z,30,1.35,1.35,1.35,1.35,0.012516394931914502,0.0135480207136581,0.011900961193618803,0.0183670731083196,0.02,0.02,0.02,0.0444,mantle
6,522434410.40017015,2024-05-01T09:55:41.329Z,30,1.35,1.35,1.35,1.35,0.013487349369113102,0.012080153494708201,0.011640526006817701,0.017805306247107307,0.02,0.02,0.02,0.0444,mantle
7,514018508.1845533,2024-05-01T09:25:39.756Z,30,1.35,1.35,1.35,1.35,0.013566610789565404,0.013416726455093701,0.011937875241325502,0.017604892097550003,0.02,0.02,0.02,0.026,mantle
8,549717912.2540413,2024-05-01T08:56:38.229Z,29,1.35,1.35,1.35,1.35,0.015017139484492502,0.016381148387458504,0.012537349793995501,0.019399583038926874,0.02,0.02,0.02,4.2,mantle
9,612713166.5553634,2024-05-01T08:26:36.624Z,30,1.35,1.35,1.35,1.35,0.015363634756432501,0.019512994510035905,0.011759087334064503,0.0218787879566385,0.02,0.02,0.02,0.0444,mantle
