,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,influencer
51132,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-11 19:03:04,"$KICK - It’s not fruit cake. 

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA $UNI $REN $SUSHI… https://t.co/7EaJKft6NQ",,Twitter for iPhone,False,True
52599,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 23:29:15,"Be a part of history. Be a part of $KICK.   

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA… https://t.co/kVL1QVZiKC",,Twitter for iPhone,False,True
52808,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 21:40:06,"$KICK - 7 Days. Did you buy?

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA $UNI $REN $DOT… https://t.co/cNmXaoCBfA",,Twitter for iPhone,False,True
52811,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 21:39:33,"$KICK - At this pace we can be at .001 before Monday.

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL… https://t.co/0v4W6IYkKp",,Twitter for iPhone,False,True
52814,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 21:38:42,"$500 = 660,000 $KICK Tokens. Short term goal is 0.32 price.

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC… https://t.co/LwVMbbjtPB",,Twitter for iPhone,False,True
52822,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 21:36:54,"$KICK finally took a rest… next climb can come anytime.  How many exchanges are like KICK?

$VET $BTC $ETH $DOGE… https://t.co/cKybAd9R70",,Twitter for iPhone,False,True
54310,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 12:50:51,"$KICK - It’s happening. Look!!
$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA $UNI $REN $DOT… https://t.co/AKldaKvFAn",,Twitter for iPhone,False,True
54442,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 12:02:15,"#KICK it doesn't stop anymore, always higher and higher
$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL… https://t.co/SKJKdxLMV6",['KICK'],Twitter for iPhone,False,True
54970,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 09:04:14,"$KICK - In the works. 

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA $UNI $REN $DOT $SUSHI… https://t.co/idCfZVTMwq",,Twitter for iPhone,False,True
55922,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 04:17:09,"GO GO #kicktoken $kick #kick 🚀
https://t.co/JP5iPtT3UB…
#Bitcoin  #cyrpto $xrp #BTC  $eth $hot $link $doge $chz… https://t.co/u2RPW3vQD5","['kicktoken', 'kick', 'Bitcoin', 'cyrpto', 'BTC']",Twitter for iPhone,False,True
55944,jack,,,2020-05-30 19:31:39,5.0,8,250,False,2021-04-10 04:12:44,"$KICK - Have you seen this? 

$VET $BTC $ETH $DOGE $XRP $TRX $IOST $XLM $LINK $LTC $TEL $BNB $ADA $UNI $REN $DOT… https://t.co/kAdlgDvkNF",,Twitter for iPhone,False,True
