,Unnamed: 0,user_name,date,likes,retweets,content,hashtags,influencer
17,17,SBF_FTX,2022-10-19 01:10:12+00:00,956,101,"1) I’ll post more later, but:

a) Crypto—and for that matter, commerce in general—does not function without peer to peer transfers and a presumption of freedom
b) it has to be free to write software as long as it is not eg a scam
c) validators’ job is to validate not to police",,True
201,201,RyanSAdams,2022-07-15 17:52:29+00:00,617,40,"Mainstream thinks crypto’s a scam.

How do we change this?",,True
230,230,RyanSAdams,2022-06-30 13:44:55+00:00,266,27,"When prices go up too fast people get dumb.

But prices go down too fast people get dumb too.

I'm seeing a lot of dumb sentiment now.

""Crypto is useless""

""Crypto is a scam""

""GET REKT CRYPTO BROS LOL""

Noise.

Keep your head down and keep building.",,True
241,241,ZssBecker,2022-06-24 13:19:35+00:00,1218,79,"Mark....6 months ago you were telling me crypto was the future and now your telling me not to buy it and its dead and a scam....

Have you been taking your wifes estrogen pills again?

It's okay you can tell me. https://t.co/QU7NWC1O58",,True
274,274,RyanSAdams,2022-06-17 12:50:58+00:00,452,58,"Prepare for an all out psychological beat down.

Prepare to be shamed &amp; shunned. To wake up to everyday to headlines calling crypto a scam.

Relentless attacks.

You’ll feel very, very wrong. First, like you’re dumb. Then, like you’re crazy

This is what a crypto bear feels like.",,True
275,275,RyanSAdams,2022-06-17 12:38:18+00:00,319,17,"Now crypto is a full on scam that never had any utility for the real world.

Narrative follows price.",,True
280,280,JohnEDeaton1,2022-06-16 16:33:48+00:00,448,165,"⁦@Twitter⁩ ⁦@verified⁩ ⁦@TwitterSupport⁩ 

Please help. Please understand these imposters attempt to scam people out of 💰 or crypto. They might claim I need help with the ⁦@Ripple⁩ XRP case. They might claim to know “insider” info or other nonsense. https://t.co/ywP4PXwdTy",,True
298,298,RyanSAdams,2022-06-13 13:50:13+00:00,659,62,Get ready for everyone to tell you crypto's a scam again.,,True
314,314,lopp,2022-06-06 10:15:16+00:00,625,55,"Crypto critics: ""100% of the industry is scams that create no value!""

Bitcoin Maximalists: ""99.9% of the industry is scams that create no value!""

So close, yet so far...",,True
327,327,VitalikButerin,2022-06-02 14:31:20+00:00,1025,138,"BTW this includes a definite-optimist attitude to crypto. Hence my focus on:

* Public goods funding
* Social recovery / multisig wallets
* Reputation systems (could help a lot to fight scams!)
* PoS (solves energy issues)
* Scaling (reduces fees, makes non-financial apps viable)",,True
346,346,lopp,2022-05-23 12:07:33+00:00,494,62,A lot of scams in the crypto ecosystem simply prey on people who are bad at math.,,True
354,354,jespow,2022-05-18 22:21:23+00:00,359,32,Hey @YouTube check out all these crypto scams. https://t.co/uoM60smw4p,,True
