,Unnamed: 0.1,Unnamed: 0,id,text,isRetweet,isDeleted,device,favorites,retweets,date,isFlagged,user_name,user_followers
0,0,735,1331013908971261953,"...fight, and I believe we will prevail! Nevertheless, in the best interest of our Country, I am recommending that Emily and her team do what needs to be done with regard to initial protocols, and have told my team to do the same.",f,f,Twitter for iPhone,239911,35172,2020-11-23 23:16:59,f,realDonaldTrump,105100000
1,1,963,1321083351000862725,"Big GDP projected. Pelosi only looking to Bail Out badly run Democrat Cities. Tap, Tap, Taping us along. She has little interest in helping out the “people”.",f,f,Twitter for iPhone,91444,19008,2020-10-27 13:36:30,f,realDonaldTrump,105100000
2,2,1727,1336344843765866496,RT @Raiklin: These are the States with the largest electoral votes and vested interest in a free and fair election nationwide and that they…,t,f,Twitter for iPhone,0,8653,2020-12-08 16:20:13,f,realDonaldTrump,105100000
3,3,1998,1337790419875352576,"The Supreme Court had ZERO interest in the merits of the greatest voter fraud ever perpetrated on the United States of America. All they were interested in is “standing”, which makes it very difficult for the President to present a case on the merits. 75,000,000 votes!",f,f,Twitter for iPhone,274436,58999,2020-12-12 16:04:25,f,realDonaldTrump,105100000
4,4,2013,1323030714330292226,"For decades, Joe Biden let other countries rip you off and cheat America blind! The only people who’ve benefited from his policies are himself &amp; his family. He shows up every 4 years, and then goes back to D.C. and caters to his special interests. My only special interest is YOU.",f,f,Twitter for iPhone,105662,23428,2020-11-01 22:34:37,f,realDonaldTrump,105100000
5,5,2324,1315747649681870849,"Viewership for NBA Finals Finale Crash Nearly 70%, Beaten by Random Sunday Night Football Game https://t.co/RaDVRSE4ww via @BreitbartNews Maybe they were watching in China, but I doubt it. Zero interest!",f,f,Twitter for iPhone,56928,13487,2020-10-12 20:14:19,f,realDonaldTrump,105100000
6,6,2448,1342817496924086278,"If a Democrat Presidential Candidate had an Election Rigged &amp; Stolen, with proof of such acts at a level never seen before, the Democrat Senators would consider it an act of war, and fight to the death. Mitch &amp; the Republicans do NOTHING, just want to let it pass. NO FIGHT!",f,f,Twitter for iPhone,243192,62140,2020-12-26 13:00:14,f,realDonaldTrump,105100000
7,7,2889,1234727146964254721,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",f,t,Twitter for iPhone,2468,703,2020-03-03 06:27:46,f,realDonaldTrump,105100000
8,8,3215,1305379188648472577,RT @BurgessOwens: I am not a token. I am just part of a movement that will be seen loud and clear on election day.,t,f,Twitter for iPhone,0,12653,2020-09-14 05:33:46,f,realDonaldTrump,105100000
9,9,3998,1234728724219691008,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",f,f,Twitter for iPhone,52717,12969,2020-03-03 06:34:02,f,realDonaldTrump,105100000
10,10,4165,1291842540023558146,Pelosi and Schumer only interested in Bailout Money for poorly run Democrat cities and states. Nothing to do with China Virus! Want one trillion dollars. No interest. We are going a different way!,f,f,Twitter for iPhone,165910,40384,2020-08-07 21:03:57,f,realDonaldTrump,105100000
11,11,4205,1245000074167541761,"With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructure Bill. It should be VERY BIG &amp; BOLD, Two Trillion Dollars, and be focused solely on jobs and rebuilding the once great infrastructure of our Country! Phase 4",f,f,Twitter for iPhone,163131,34886,2020-03-31 14:48:43,f,realDonaldTrump,105100000
12,12,4403,1245019122250981377,"RT @realDonaldTrump: With interest rates for the United States being at ZERO, this is the time to do our decades long awaited Infrastructur…",t,f,Twitter for iPhone,0,34886,2020-03-31 16:04:24,f,realDonaldTrump,105100000
13,13,4675,1196632739266596865,"At my meeting with Jay Powell this morning, I protested fact that our Fed Rate is set too high relative to the interest rates of other competitor countries. In fact, our rates should be lower than all others (we are the U.S.). Too strong a Dollar hurting manufacturers &amp, growth!",f,f,Twitter for iPhone,70196,16096,2019-11-19 03:34:12,f,realDonaldTrump,105100000
14,14,4680,1196458467982270464,"Just finished a very good &amp, cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discussed including interest rates, negative interest, low inflation, easing, Dollar strength &amp, its effect on manufacturing, trade with China, E.U. &amp, others, etc.",f,f,Twitter for iPhone,68851,15261,2019-11-18 16:01:42,f,realDonaldTrump,105100000
