,date,avg_gas_price_in_wei,avg_value_in_wei
0,2021-05-29,157500000.0,7.77125e+16
1,2021-05-30,840000000.0,1.4400404e+16
2,2021-05-31,693681729.9178082,3.698643835616438e+16
3,2021-06-01,668665136.590909,2.523515282361192e+16
4,2021-06-02,473247855.6491228,7.550292397660818e+16
5,2021-06-03,4490859168.175439,6491228070175439.0
6,2021-06-04,437869616.0425532,2.343723404255319e+16
7,2021-06-05,317648742.22222227,4.211666666666668e+16
8,2021-06-06,409439954.1111111,88.8888888888889
9,2021-06-07,315949859.7040359,1.3525112556053832e+16
10,2021-06-08,338672947.9470198,5.061589405579634e+16
11,2021-06-09,386554992.2391304,2760602955243205.0
12,2021-06-10,336587584.3031915,1.1617553191547896e+16
13,2021-06-11,597554156.1300813,4123577235772397.0
14,2021-06-12,311615178.65168536,53.93258426966292
15,2021-06-13,338228104.7453416,3.16770186335404e+16
16,2021-06-14,317431111.0566038,4.15094339622642e+16
17,2021-06-15,198408115.0794224,9771793623662644.0
18,2021-06-16,55150208.89147287,4588797898209522.0
19,2021-06-17,52888755.168057874,951994076270410.8
20,2021-06-18,23175233.758214507,499863442187783.94
21,2021-06-19,13248700.908076163,3.1516743269862117
22,2021-06-20,13282814.290280497,13046314416180.56
23,2021-06-21,24996276.03876923,2837492871487891.0
24,2021-06-22,280740043.9712049,28367393129301.836
25,2021-06-23,405263760.747561,1672357232787509.5
26,2021-06-24,398551590.33172333,51096891204881.75
27,2021-06-25,394927588.66837126,52163348973083.56
28,2021-06-26,393739566.3377533,1278447627930614.5
29,2021-06-27,395930885.0280925,36800402909.7009
30,2021-06-28,395635404.0468422,411610475834815.4
31,2021-06-29,396365888.89234674,3005090905599.4253
32,2021-06-30,395661488.1922812,2320238915691.431
33,2021-07-01,402732719.88955086,311641736938589.56
34,2021-07-02,394924541.95753074,60032661605618.57
35,2021-07-03,396702794.36033326,717657949548716.8
36,2021-07-04,396926868.9787626,75348336312356.3
37,2021-07-05,392974987.22313493,3863236624596205.0
38,2021-07-06,397464507.3670745,58007284360824.65
39,2021-07-07,405871167.2751956,446399156177414.06
40,2021-07-08,407208916.3385635,310553602806394.9
41,2021-07-09,405379050.6334197,1908476335190571.2
42,2021-07-10,401561935.0058556,21687269572761.832
43,2021-07-11,400886420.901749,32390412437919.39
44,2021-07-12,401828204.2494679,2483822885526445.0
45,2021-07-13,17012476561.399788,1.5812849631966352e+16
46,2021-07-14,51757918023.99286,349230454715764.6
47,2021-07-15,47875301156.76738,24254322958772.19
48,2021-07-16,37430595490.10069,429842255535054.0
49,2021-07-17,37330551041.82814,0.99626400996264
50,2021-07-18,26096579541.884,1.0197578075207139
51,2021-07-19,28532394040.381905,81300813008131.06
52,2021-07-20,42455585655.37492,82902686010363.7
53,2021-07-21,49220162236.84644,165562913907285.38
54,2021-07-22,49587264943.81521,399121931750149.7
55,2021-07-23,32945422040.70002,227884814584628.12
56,2021-07-24,108106208982.10233,4847488312629640.0
57,2021-07-25,34050561028.539536,44735652959783.09
58,2021-07-26,73135643050.63335,99497675069674.81
59,2021-07-27,50580370763.86852,81237882674218.62
60,2021-07-28,42872203132.14786,127523204250132.73
61,2021-07-29,25368817369.597366,1365821596619719.2
