,date,avg_fee,avg_value
0,2020-01-01,20348.150034275,71534356.59062369
1,2020-01-02,19208.722236939,93039445.69338147
2,2020-01-03,20454.254069905,130179299.49212468
3,2020-01-04,18723.730767193,91973356.16134307
4,2020-01-05,19025.313681092,77528686.59462109
5,2020-01-06,21753.172576341,143447647.51255512
6,2020-01-07,22200.656778997,90065049.72989435
7,2020-01-08,28916.378208572,116647856.6735583
8,2020-01-09,33555.363596041,155970566.0737386
9,2020-01-10,30177.236592479,109808833.74747965
10,2020-01-11,32868.223721311,79408976.22919664
11,2020-01-12,20410.457566173,74368578.0268989
12,2020-01-13,22248.611993489,97594224.32902129
13,2020-01-14,25659.444932308,149987662.33053693
14,2020-01-15,29518.481396371,197117862.5008068
15,2020-01-16,34639.201707828,112289954.17687175
16,2020-01-17,24063.919624027,142899253.55474764
17,2020-01-18,30498.545741582,72406076.50854003
18,2020-01-19,23651.519793892,92873888.47838864
19,2020-01-20,24420.79716261,129677860.8021957
20,2020-01-21,23079.268615066,88195263.49038275
21,2020-01-22,23145.496083981,114628287.143383
22,2020-01-23,22417.608278981,110873999.09764428
23,2020-01-24,19936.357405859,92402950.20661752
24,2020-01-25,19981.508393976,71785799.11736283
25,2020-01-26,19700.39067373,93100463.73483215
26,2020-01-27,24170.307176209,222911829.09230056
27,2020-01-28,23298.411121729,130876946.94773668
28,2020-01-29,20223.730828026,111253224.24543388
29,2020-01-30,22533.876241418,182566702.96644264
30,2020-01-31,25796.607649972,149682889.967618
31,2020-02-01,27557.807922584,111831989.08695956
32,2020-02-02,21564.457134526,99390757.081014
33,2020-02-03,22162.763869504,202046687.53426784
34,2020-02-04,25248.585540506,120210914.37743792
35,2020-02-05,23214.438826939,97741563.4105243
36,2020-02-06,41459.116326301,205518809.59473637
37,2020-02-07,28806.377148426,205707285.91838703
38,2020-02-08,35016.780335933,102313967.81191668
39,2020-02-09,21228.439431445,76384090.35682242
40,2020-02-10,27584.824410187,144369742.68279284
41,2020-02-11,28996.365132768,117470852.15035048
42,2020-02-12,34524.124913849,132803423.7612528
43,2020-02-13,33165.602709843,130622785.03317012
44,2020-02-14,29944.048780519,132484353.92987588
45,2020-02-15,38382.486291183,110821525.4806402
46,2020-02-16,32210.721589307,136523589.05591512
47,2020-02-17,25213.530634908,158097899.16307676
48,2020-02-18,24797.094411537,130864960.05396084
49,2020-02-19,29579.536024366,168950979.9740098
50,2020-02-20,30113.446612537,134674428.27880162
51,2020-02-21,24424.28593299,100827036.5624108
52,2020-02-22,27330.376744986,76514204.22124808
53,2020-02-23,21351.111553042,97486138.73469353
54,2020-02-24,23001.731744372,101977459.03675236
55,2020-02-25,25784.244717517,107575611.38502528
56,2020-02-26,28406.520286763,109198555.015256
57,2020-02-27,24615.989180939,120840203.47721864
58,2020-02-28,23166.083299819,113746619.18346168
59,2020-02-29,23098.36739913,85726111.56039505
60,2020-03-01,19445.631005963,75034762.85437204
61,2020-03-02,22795.58253482,98356897.75171144
62,2020-03-03,23487.674552969,95139433.01562311
63,2020-03-04,22090.374419961,117741188.2202524
64,2020-03-05,22513.908881356,101943035.1801858
65,2020-03-06,24739.474990135,115961598.258578
66,2020-03-07,24715.291872328,80366928.04497625
67,2020-03-08,21417.854223398,83936869.44502465
68,2020-03-09,28246.600836089,145368546.46031716
69,2020-03-10,25987.914958632,132352333.8441866
70,2020-03-11,29546.97654966,237625131.007512
71,2020-03-12,49465.8919499,263380140.8611466
72,2020-03-13,97890.224740726,303413388.4696873
73,2020-03-14,73533.253489723,154458358.791678
74,2020-03-15,53941.677401244,146814729.34128404
75,2020-03-16,67059.117755039,222312807.91197568
76,2020-03-17,61469.106356794,197790940.0296065
77,2020-03-18,72005.203819138,180838668.93988845
78,2020-03-19,67874.96248901,185702683.39513844
79,2020-03-20,70914.922457318,179290702.7761743
80,2020-03-21,79182.257387749,107353501.7661396
81,2020-03-22,85075.284736495,142129819.60129488
82,2020-03-23,77669.76539595,152202239.96282393
83,2020-03-24,49949.615973278,191674912.78099316
84,2020-03-25,66748.560968599,148600205.52436784
85,2020-03-26,59812.788765072,115182021.23014548
86,2020-03-27,58276.667839516,142391918.32339263
87,2020-03-28,50239.779832321,107250656.99420136
88,2020-03-29,37636.510686565,104309439.0829176
89,2020-03-30,25922.503762876,137533392.31674764
90,2020-03-31,32382.360677344,137338311.9502962
91,2020-04-01,29067.670953051,136792632.73313832
92,2020-04-02,26174.677781508,128682896.66290618
93,2020-04-03,27966.13220176,131480421.09029289
94,2020-04-04,26842.889273362,127478520.5935346
95,2020-04-05,19497.660166821,87816441.55611533
96,2020-04-06,21652.204496765,146260905.53537545
97,2020-04-07,26250.705607288,144007033.90588033
98,2020-04-08,27791.507319208,99975521.38734886
99,2020-04-09,26878.702393123,146876414.071401
100,2020-04-10,25624.575833802,142971634.1679629
101,2020-04-11,20624.807089115,91664639.30316609
102,2020-04-12,15321.831882165,81102382.08093615
103,2020-04-13,15915.796621149,129245903.91177562
104,2020-04-14,19278.420662678,97604912.85527109
105,2020-04-15,27017.109310714,104983511.12537675
106,2020-04-16,29023.880890077,128430260.15099876
107,2020-04-17,27406.49319664,123473423.43833768
108,2020-04-18,26147.943898301,77581876.4808923
109,2020-04-19,63070.029534384,79767528.16268604
110,2020-04-20,23198.83286363,98941824.47910015
