,date,avg_gas_price_in_wei,avg_value_in_wei
0,2021-11-08,7089618699726.412,4748261926215402643622.25920215841202543842744266718057429177
1,2021-11-09,5719875784373.531,2768329184604369197790.35477525666465361055991717712017944957
2,2021-11-10,5219048753271.82,3944459372239491938791.67591650927405685505351348733594847208
3,2021-11-11,5243506718323.52,2167986700053210324939.84453970946715267111406585513093846236
4,2021-11-12,5165434806382.376,1912150261736401804742.78061390815970534238505664952787294034
5,2021-11-13,5242375926675.459,2256544255813501781630.23401047982466875076484919955054679765
6,2021-11-14,5199533825974.363,2155686601828129809933.39409820380115687383116600704562258079
7,2021-11-15,5239320042002.044,2668175607314747927000.43847705646768981748719077855072808745
8,2021-11-16,5231253403836.776,1507832234823350841247.46735282096468552440908101681060336637
9,2021-11-17,5346596904759.297,1699930273263715215868.35041346058881097533602090198155813139
10,2021-11-18,5335057536380.524,1563270074054709959132.27091180405474940825357620664814243079
11,2021-11-19,5235987899893.082,1303516675706261425110.18177934633306387481351498780864501797
12,2021-11-20,5219805063068.285,1124494222979183026922.97643815554263315457345308091576748293
13,2021-11-21,5268197743550.515,1290532254922398589787.33389600584360977945283679018862828626
14,2021-11-22,5294526971747.349,1137052685259895655699.28086348722062585069798331152477955826
15,2021-11-23,5252260299296.4,1057797054671536705067.94527474116838819318058551989297207391
16,2021-11-24,5434166077600.433,783578728062394679044.60949232539543229379985567452655393677
17,2021-11-25,5457209063067.825,901305345939025779343.65990227109296702923373968778841635006
18,2021-11-26,5371735976814.679,1562321725978643790544.54804555349025929520394343647020764452
19,2021-11-27,5370642652799.592,819134618206323498690.35624568370165745856353591160220994475
20,2021-11-28,5337649878119.3,636284208285088325154.70014578462384816393893549718058038784
21,2021-11-29,5305231674018.197,749092330764010192494.89595756317469083031110780716519670573
22,2021-11-30,5321780219794.671,946027131872078222773.08945620804154210586202972908671500833
23,2021-12-01,5368943456266.349,852493727539701645837.49295947354437881915350186998017616644
24,2021-12-02,5507605110532.829,427696866764018991014.97360608522265711542722103242005760284
25,2021-12-03,5434501177634.011,724959305192002136023.82745721318783555908747310681681623476
26,2021-12-04,5419369801706.373,1029315373370438935669.0403850789596508234473491201345827371
27,2021-12-05,5396454667149.225,677153371609625196852.51764599147186016269997278253243414885
28,2021-12-06,5391980594982.289,1742815412678414436201.85829000577700751010976314269208549971
29,2021-12-07,5379598701961.737,896034624584275815453.42100135147876921142785303454128296194
30,2021-12-08,5359330430169.405,375479788002573519156.92905934122585752950490674424171008782
31,2021-12-09,5362992159488.571,441121484476227499692.86454667052942373006724895674739417998
32,2021-12-10,5358228052770.441,1118225589419658258939.80901543519414162873640296479161597759
33,2021-12-11,5353963475552.507,361943258362709270654.06695455022826818886644303179692471165
34,2021-12-12,5317966455923.957,523762691905733612804.48601154047910473859066270326980241301
