,date,avg_fee,avg_value
0,2020-01-01,238645782.48362017,6054627619208.509
1,2020-01-02,207300702.38033912,15624298025775.28
2,2020-01-03,188716715.57745615,13961702670235.268
3,2020-01-04,203790106.47107664,10863623939334.838
4,2020-01-05,230044210.0036395,8194328234488.556
5,2020-01-06,184745121.89277,11794530099554.564
6,2020-01-07,248757649.3460264,19855720325206.805
7,2020-01-08,212893227.19878265,19123043609173.785
8,2020-01-09,240727835.4760808,10514031482594.44
9,2020-01-10,185304589.7688357,12040152175239.172
10,2020-01-11,221762240.2382787,9369183518534.035
11,2020-01-12,176393483.24115512,23694419013989.742
12,2020-01-13,227223972.71758616,9283467096310.104
13,2020-01-14,211054886.10840175,15042729386388.496
14,2020-01-15,225110075.57541367,16114388716177.02
15,2020-01-16,199860166.17736107,10771362320485.81
16,2020-01-17,193210357.77122045,16078069638086.535
17,2020-01-18,213292570.77551156,17414780669490.826
18,2020-01-19,222536153.37530693,15734323265185.076
19,2020-01-20,213841922.217452,12331068133762.992
20,2020-01-21,193558864.91205552,15654702146859.633
21,2020-01-22,222634817.5206951,13992094396175.25
22,2020-01-23,198566678.8252887,12659774510313.809
23,2020-01-24,200495073.56837568,13998372864590.768
24,2020-01-25,214867488.1560316,8647097631567.648
25,2020-01-26,189100328.8483476,13077523724130.771
26,2020-01-27,202325685.00401312,26568699393371.12
27,2020-01-28,309455615.63704,16481279777144.799
28,2020-01-29,245976908.40438336,18619688526143.723
29,2020-01-30,206552594.74626487,10976180987674.275
30,2020-01-31,217581777.4417396,10368513564598.95
31,2020-02-01,198617794.29000208,13651268748591.637
32,2020-02-02,288868159.32367146,11079565387619.207
33,2020-02-03,212758752.4801789,13454445139515.129
34,2020-02-04,216684623.4326257,11760687338311.785
35,2020-02-05,190196656.2725411,20107422227112.586
36,2020-02-06,239090834.61169103,11672690853752.588
37,2020-02-07,207469437.67080465,11367972059180.46
38,2020-02-08,242755075.529234,33922229216224.04
39,2020-02-09,235343748.3750548,41355913726273.78
40,2020-02-10,256142659.87918305,25506238936932.746
41,2020-02-11,242274256.4881716,18727194955858.688
42,2020-02-12,256166285.57768425,21653541220295.457
43,2020-02-13,262596970.32976696,20724577698801.047
44,2020-02-14,287530484.3843332,19833519485594.31
45,2020-02-15,264822458.73376593,18039366055941.48
46,2020-02-16,222356460.743096,11014799323302.553
47,2020-02-17,262575150.8580326,9431026457620.355
48,2020-02-18,215602249.95554233,14171327538186.596
49,2020-02-19,310105859.13965774,11243122170021.904
50,2020-02-20,214448795.43449923,12488781537563.195
51,2020-02-21,208460551.04484567,18580299654869.414
52,2020-02-22,194538217.7857608,16928758954331.287
53,2020-02-23,290956425.15387166,16971489810946.309
54,2020-02-24,234302582.40983063,17271187232597.527
55,2020-02-25,236554348.47675407,12976750157124.67
56,2020-02-26,273383057.9434753,23462125314943.89
57,2020-02-27,200065492.11775485,9588167806795.783
58,2020-02-28,189897999.97128928,8246020421469.904
59,2020-02-29,239869181.8955089,13391100469690.941
60,2020-03-01,257975192.1068172,7030281214548.98
61,2020-03-02,219745971.58635703,8935322485049.525
62,2020-03-03,234940903.5721468,15700630862723.572
63,2020-03-04,182109725.02159837,13415550581895.725
64,2020-03-05,194403486.17410055,9277307183312.477
65,2020-03-06,184319139.01309407,9471915318989.363
66,2020-03-07,178352630.31872147,7358948818212.674
67,2020-03-08,187818299.0828104,7086122574277.524
68,2020-03-09,329222258.9624353,12728889580249.008
69,2020-03-10,232457454.00228775,20161799454936.664
70,2020-03-11,207745865.319529,10833843855962.148
71,2020-03-12,208597451.82720944,29319643299476.4
72,2020-03-13,227779501.0517985,24446564248686.05
73,2020-03-14,231650028.1729216,11517012420772.615
74,2020-03-15,219422784.0193137,7718031180419.739
75,2020-03-16,298550664.25798154,9967810616872.992
76,2020-03-17,213281341.45350704,13591967809695.365
77,2020-03-18,187655501.6502696,11353630327695.371
78,2020-03-19,199437518.2755432,10217997606655.37
79,2020-03-20,247703787.679042,8200801735847.551
80,2020-03-21,199738521.53886417,10341852236225.916
81,2020-03-22,200602739.621307,9634273350267.588
82,2020-03-23,243822826.9725319,8143001062833.757
83,2020-03-24,214286075.88123345,10758664072305.03
84,2020-03-25,247823441.7884084,8365139584183.383
85,2020-03-26,218478790.19646677,6949416895138.088
86,2020-03-27,238943342.93436328,7721807732849.104
87,2020-03-28,202356056.96116745,6642457821039.71
88,2020-03-29,205706563.1189932,8492291497554.824
89,2020-03-30,306946824.7060288,5126682943685.417
90,2020-03-31,226456067.62914604,6048648568336.252
91,2020-04-01,190230959.7023692,5756928167253.953
92,2020-04-02,279934021.8931221,7224137336318.824
93,2020-04-03,200616324.45588717,7474614868178.125
94,2020-04-04,211192331.7731184,5240333700481.232
95,2020-04-05,212568539.01857084,5207772356418.457
96,2020-04-06,312193751.64337087,6331852647860.764
97,2020-04-07,197344878.04242423,6612100561063.249
98,2020-04-08,285339583.32639843,6769869460374.976
99,2020-04-09,236947760.0257077,6057984647358.776
100,2020-04-10,201248636.0011532,10897398693091.068
101,2020-04-11,192216882.56091288,5857269255948.403
102,2020-04-12,196339077.77155608,7076152418919.472
103,2020-04-13,264130416.82044172,10955340264408.268
104,2020-04-14,211958368.22239095,5787257725042.045
105,2020-04-15,221431914.55950484,6633100514285.657
106,2020-04-16,232273324.1006399,7558111619236.304
107,2020-04-17,206640056.12851512,5546046529490.805
108,2020-04-18,206632928.79519904,5458850453220.865
109,2020-04-19,200161523.73945987,4865580519604.016
110,2020-04-20,212980927.2610392,7619589786276.243
111,2020-04-21,326770135.7653765,7155391524469.13
112,2020-04-22,210886688.90515065,6642865813594.241
113,2020-04-23,205174315.26393384,10061334166418.184
114,2020-04-24,229442163.63791707,7098472874584.544
115,2020-04-25,210021674.33110428,5912465280439.845
116,2020-04-26,214398477.80021676,33461294651324.88
117,2020-04-27,285461895.01591855,11896871975594.56
118,2020-04-28,245956245.98918125,10781120352458.732
119,2020-04-29,243459753.5676096,13437085166845.752
120,2020-04-30,240210324.9820832,20678534864381.504
121,2020-05-01,234037227.2882599,8765962857539.538
122,2020-05-02,219011092.88434967,8005341996073.795
123,2020-05-03,223277569.6558573,10765117856183.04
124,2020-05-04,297264280.6960686,9649359759055.023
125,2020-05-05,237805333.91922545,9905055210858.316
126,2020-05-06,202182280.46738088,14581541865084.135
127,2020-05-07,196455329.94591287,16704427936899.492
128,2020-05-08,232025314.816834,14531829086330.88
129,2020-05-09,328399996.14050364,9084705272309.232
130,2020-05-10,214597141.88918576,12126103659463.912
131,2020-05-11,297330309.0179773,14745194955773.646
132,2020-05-12,221157514.81237677,11072512286002.717
133,2020-05-13,202471969.49840128,11655962184754.396
134,2020-05-14,321358369.8113708,12181025971198.82
135,2020-05-15,211058930.5593359,13805011914749.623
136,2020-05-16,197009708.5363128,12107063051215.367
137,2020-05-17,234334137.75780568,9801655022386.168
138,2020-05-18,262796080.5218937,9893572161356.73
139,2020-05-19,206618700.33352575,10361548300771.5
140,2020-05-20,218846683.43437085,10581958488332.713
141,2020-05-21,232517266.0095021,8922604981810.365
142,2020-05-22,211292224.632398,11251528325253.037
143,2020-05-23,196798622.78801584,7513479748811.186
144,2020-05-24,208919329.3629375,13490846533970.451
145,2020-05-25,276634575.192278,16573194587047.584
146,2020-05-26,253101120.6703572,8900003613405.682
147,2020-05-27,223801456.10709664,17876901342045.758
148,2020-05-28,220078742.5427488,15264519786254.496
149,2020-05-29,185043436.8814883,9381780278021.465
150,2020-05-30,186435486.86660647,9494414339846.371
151,2020-05-31,191963372.170917,13242867422076.646
152,2020-06-01,309900622.35732746,16858325267089.191
153,2020-06-02,181664534.73081756,24728383070653.723
154,2020-06-03,192137867.0892252,13401216244462.072
155,2020-06-04,208788025.5260909,19458607886683.117
156,2020-06-05,257743473.10820636,14115191548634.812
157,2020-06-06,179130387.30504024,12264899909264.443
158,2020-06-07,235655518.77525008,14373147190823.926
159,2020-06-08,171332289.5201113,12560275401387.404
160,2020-06-09,234932358.99230593,18686533468684.887
161,2020-06-10,201983178.19154215,12007359427735.379
162,2020-06-11,222188832.84912923,11536557296764.18
163,2020-06-12,185440046.9016882,12848243841756.078
164,2020-06-13,202629429.7674572,23585767635508.65
165,2020-06-14,243645109.3517252,17198543618289.623
166,2020-06-15,198077922.36644527,31296896195929.12
167,2020-06-16,185765809.42630872,11864727377794.135
168,2020-06-17,189410734.67052084,13460181047430.266
169,2020-06-18,243028335.18766809,12911565051859.482
170,2020-06-19,190281416.1323929,10913328196158.488
171,2020-06-20,244042088.81375363,10730760279340.572
172,2020-06-21,194376125.43070608,10773581467648.646
173,2020-06-22,272644495.4062628,15700841463210.5
174,2020-06-23,202688717.10920492,18141473001456.2
175,2020-06-24,229318034.6523882,35295170595012.04
176,2020-06-25,186108109.01242876,16349181767493.371
177,2020-06-26,191699344.31611285,13363778795704.553
178,2020-06-27,169818604.38027263,13092524412202.604
179,2020-06-28,166446849.13003775,11382169569328.309
180,2020-06-29,253111077.4554748,12829735540912.184
181,2020-06-30,241896188.9833028,25833667898276.19
182,2020-07-01,170908530.0901257,14503576117381.451
183,2020-07-02,185802340.2564038,13598960373314.988
184,2020-07-03,193369050.73645657,13802174316107.42
185,2020-07-04,215043238.9094557,14030383106252.836
186,2020-07-05,169036436.55924144,13347237057541.135
187,2020-07-06,241243488.27307323,20047278555633.938
188,2020-07-07,208851278.98765865,51206085604478.336
189,2020-07-08,318728545.1413136,122525178489597.5
190,2020-07-09,203553622.9271143,75940978903008.3
191,2020-07-10,182109539.19468328,60130611877275.05
192,2020-07-11,175349385.2136584,25368923635112.523
193,2020-07-12,214552479.55576405,14295033843266.146
194,2020-07-13,303275975.67002314,27672386437195.39
