,date,avg_gas_price_in_wei,avg_value_in_wei
0,2020-01-01,11653078499.334356,1.3244935925151864e+18
1,2020-01-02,10549622182.205715,2.2116705698580892e+18
2,2020-01-03,11457792800.658524,3.1847005178514324e+18
3,2020-01-04,9641878205.163858,2.0256979664396367e+18
4,2020-01-05,9722591640.72182,1.716653227716475e+18
5,2020-01-06,10987782764.765,2.665604047535661e+18
6,2020-01-07,10446671519.863426,2.1722022315742408e+18
7,2020-01-08,11392937288.693504,2.9686880199351424e+18
8,2020-01-09,10856935923.369965,2.1576467557542415e+18
9,2020-01-10,12295063175.41069,2.1876357652704287e+18
10,2020-01-11,11160217943.03382,2.464428404064138e+18
11,2020-01-12,10915986943.159458,1.9200018798644623e+18
12,2020-01-13,11044551911.03136,2.538642752677633e+18
13,2020-01-14,15734901123.782284,3.867257447447716e+18
14,2020-01-15,11153312569.60488,3.004233734293217e+18
15,2020-01-16,9882436719.54377,2.437113836088937e+18
16,2020-01-17,10647132525.873371,2.345727351386853e+18
17,2020-01-18,10808452017.891392,2.755250341572479e+18
18,2020-01-19,10357278635.89244,1.9267202727991608e+18
19,2020-01-20,9608909994.084188,1.7761211527770053e+18
20,2020-01-21,9510559282.046692,1.766571545429914e+18
21,2020-01-22,9915480077.159254,1.7972601970895713e+18
22,2020-01-23,8949018361.5006,2.0327658337660137e+18
23,2020-01-24,8278356694.190629,3.0199444352961715e+18
24,2020-01-25,7486381500.699811,1.039708754260652e+18
25,2020-01-26,7292977564.761247,1.4353768105241052e+18
26,2020-01-27,8575134899.182416,2.2708425513315284e+18
27,2020-01-28,8424731009.982712,2.2670389983781056e+18
28,2020-01-29,8540928325.404402,2.297875908610152e+18
29,2020-01-30,9041485730.267122,2.402469092434477e+18
30,2020-01-31,8933181195.218681,3.2886355940245407e+18
31,2020-02-01,9203886190.38565,2.0085660469849303e+18
32,2020-02-02,9030563522.763311,2.0842684752186015e+18
33,2020-02-03,9818813483.35269,2.1278873027906424e+18
34,2020-02-04,11672503801.836914,2.997614416961776e+18
35,2020-02-05,12366223809.85059,2.587723675186484e+18
36,2020-02-06,12946171581.001852,3.8211975600765686e+18
37,2020-02-07,13069985854.166063,3.849532178750646e+18
38,2020-02-08,11659952977.600224,1.955935707674512e+18
39,2020-02-09,11198203710.4168,2.0901692511639176e+18
40,2020-02-10,11315363845.10226,2.730824626709335e+18
41,2020-02-11,11172834182.740246,2.0290499760345393e+18
42,2020-02-12,12678575687.559322,3.468901219716542e+18
43,2020-02-13,13254918826.938343,3.0172108747715174e+18
44,2020-02-14,12604179960.91536,2.4762613865248287e+18
45,2020-02-15,13088417479.076494,2.701233445884088e+18
46,2020-02-16,12543790558.053522,2.5439906905623726e+18
47,2020-02-17,11962474470.728804,3.8433391498517514e+18
48,2020-02-18,11163779142.665731,3.0816060201900723e+18
49,2020-02-19,12062562682.695618,2.5543247276604815e+18
50,2020-02-20,12000049756.082954,3.292128770968328e+18
51,2020-02-21,9476216458.792685,2.5493125142520207e+18
52,2020-02-22,10330467633.644358,1.527824098948336e+18
53,2020-02-23,12926972176.613,2.053458283675502e+18
54,2020-02-24,12092080124.44384,2.4833546023194214e+18
55,2020-02-25,11674769473.641403,2.793237010265219e+18
56,2020-02-26,14277927459.338554,4.045018846675486e+18
57,2020-02-27,11855994827.222404,3.7602952172742144e+18
58,2020-02-28,11770727539.898205,2.6232119848927206e+18
59,2020-02-29,9975932786.261353,1.8567709659646157e+18
60,2020-03-01,10339278952.04789,2.638963582598706e+18
61,2020-03-02,10038087764.808258,3.7069890094305905e+18
62,2020-03-03,10682582637.063808,2.6641590083325537e+18
63,2020-03-04,10896359613.293674,2.2443275639974223e+18
64,2020-03-05,11497324542.622557,2.4137989552575165e+18
65,2020-03-06,11180873678.116522,2.768878217546634e+18
66,2020-03-07,10971463021.697723,1.8824502635571077e+18
67,2020-03-08,13015267651.585629,2.8292458604829553e+18
68,2020-03-09,14183415854.49542,4.913787975263103e+18
69,2020-03-10,11513906701.207302,3.454838132512129e+18
70,2020-03-11,12872090526.515598,3.4342218071606154e+18
