,date,avg_gas_price_in_wei,avg_value_in_wei
0,2020-01-01,617525661355.198,164637635357198875841584.15841584158415841584158415841584158416
1,2020-01-02,601082743710.6919,508125166824698339186981.44025157232704402515723270440251572327
2,2020-01-03,554391304347.826,20923617975021317934782.6086956521739130434782608695652173913
3,2020-01-04,533803680981.5951,36201139809790716065950.92024539877300613496932515337423312883
4,2020-01-05,478562500000.0,361943690560451481666666.66666666666666666666666666666666666667
5,2020-01-06,518442622950.8197,28499876406649224934426.2295081967213114754098360655737704918
6,2020-01-07,506627508600.9174,371430102872079181830871.10091743119266055045871559633027522936
7,2020-01-08,509269301470.58813,171358639398554865034946.69117647058823529411764705882352941176
8,2020-01-09,495782082324.4552,267050653859477256521962.71186440677966101694915254237288135593
9,2020-01-10,487004739336.49286,873724878991539044625590.99526066350710900473933649289099526066
10,2020-01-11,507894736842.1053,124076561631925683675526.31578947368421052631578947368421052632
11,2020-01-12,232048140043.76367,64609197240814389507658.42450765864332603938730853391684901532
12,2020-01-13,502377857142.8571,123041754587841033892742.85714285714285714285714285714285714286
13,2020-01-14,489107103825.13666,116472168552309004584699.45355191256830601092896174863387978142
14,2020-01-15,486593597560.9756,110888107261629939319512.19512195121951219512195121951219512195
15,2020-01-16,515027322404.3716,82265853010809398961748.63387978142076502732240437158469945355
16,2020-01-17,526436645962.7329,110122068891339640362732.91925465838509316770186335403726708075
17,2020-01-18,514001748251.7482,106411206204761912083930.06993006993006993006993006993006993007
18,2020-01-19,25372592592.59259,66707775298097747603703.7037037037037037037037037037037037037
19,2020-01-20,28703571428.571426,296483020976994294389508.92857142857142857142857142857142857143
20,2020-01-21,13360465116.279068,66864198458045274429748.06201550387596899224806201550387596899
21,2020-01-22,11945652173.913044,52530294839906259902173.91304347826086956521739130434782608696
22,2020-01-23,14618181818.181818,90662499182934863631818.18181818181818181818181818181818181818
23,2020-01-24,1053191489.361702,82098102425916643168936.17021276595744680851063829787234042553
24,2020-01-25,11238410596.02649,212396377565413026688761.58940397350993377483443708609271523179
25,2020-01-26,30525943396.226414,241326672320669046339622.64150943396226415094339622641509433962
26,2020-01-27,16896930693.069305,155714647332204621121287.12871287128712871287128712871287128713
27,2020-01-28,18102197802.1978,340167216175939021549450.54945054945054945054945054945054945055
28,2020-01-29,14993362831.858408,40493872762817847913274.33628318584070796460176991150442477876
29,2020-01-30,1500000000.0,110695514237236441110236.22047244094488188976377952755905511811
30,2020-01-31,1518292682.926829,122887285054189640408841.46341463414634146341463414634146341463
31,2020-02-01,1500000000.0,61295435375035246948863.63636363636363636363636363636363636364
32,2020-02-02,1508426966.2921348,331279260478991862819101.12359550561797752808988764044943820225
33,2020-02-03,1526785714.2857141,141141657813562266232261.9047619047619047619047619047619047619
34,2020-02-04,1590425531.9148936,76616783006416106390070.92198581560283687943262411347517730496
35,2020-02-05,2250000000.0,116736969497085163330357.14285714285714285714285714285714285714
36,2020-02-06,2250000000.0,122169806465709381109929.07801418439716312056737588652482269504
37,2020-02-07,2257550335.5704694,161358714366460291805369.12751677852348993288590604026845637584
38,2020-02-08,2506101190.4761906,154403257767424427142857.14285714285714285714285714285714285714
39,2020-02-09,1986570247.933884,131177212556990262233066.1157024793388429752066115702479338843
40,2020-02-10,1638475609.7560976,73922524782535587560975.6097560975609756097560975609756097561
41,2020-02-11,1667437500.0,81117615786011807197562.5
42,2020-02-12,1599597585.5130785,27361750542133904072233.90342052313883299798792756539235412475
43,2020-02-13,1615238095.2380953,42820560542335670920634.92063492063492063492063492063492063492
44,2020-02-14,1587774566.4739883,55873493970996236936415.02890173410404624277456647398843930636
45,2020-02-15,5583619402.985074,112380018171332503432835.8208955223880597014925373134328358209
46,2020-02-16,1590000000.0,114309159339557298310948.90510948905109489051094890510948905109
47,2020-02-17,3231081967.2131147,30860531278398847125683.08196721311475409836065573770491803279
48,2020-02-18,2037494033.412888,2381398485043914725634.88663484486873508353221957040572792363
49,2020-02-19,1590000000.0,1451328919927357036043.32307692307692307692307692307692307692
50,2020-02-20,1590000000.0,1889987625290786573281.17167222840192806822395253985910270671
51,2020-02-21,1590000000.0,3552395526763244892962.18614718614718614718614718614718614719
52,2020-02-22,1746333674.863388,7634159929896586231434.10746812386156648451730418943533697632
53,2020-02-23,1593790226.4600716,6682380848734475065671.97854588796185935637663885578069129917
54,2020-02-24,1593736482.640865,36814015324907458725141.49117814456459874786568013659647125783
55,2020-02-25,1620801606.491537,792439446079372520026.20753247817712388836523093315847711159
56,2020-02-26,1589456221.1981566,158570710033799950238.49953917050691244239631336405529953917
57,2020-02-27,1594053892.2155688,28012290384154355821381.34131736526946107784431137724550898204
58,2020-02-28,1596022727.2727273,11058490946621314542957.79040404040404040404040404040404040404
59,2020-02-29,1587991913.746631,14476587384557389921575.36388140161725067385444743935309973046
60,2020-03-01,1602820512.8205128,69080104199454964106870.98290598290598290598290598290598290598
61,2020-03-02,1096091205.2117264,31553622868774939739430.45602605863192182410423452768729641694
62,2020-03-03,1007604562.7376424,50567537130925807984804.75285171102661596958174904942965779468
63,2020-03-04,1016447368.4210526,60608382098218847302640.46052631578947368421052631578947368421
64,2020-03-05,1039515066.984326,37884833462307860151330.2633228840125391849529780564263322884
65,2020-03-06,1015503875.9689922,170992716902513449844988.8372093023255813953488372093023255814
66,2020-03-07,1043539325.8426965,41271088916316188792141.01123595505617977528089887640449438202
67,2020-03-08,1013297872.3404256,175600099729840136971020.79787234042553191489361702127659574468
68,2020-03-09,1500000000.0,60192881290427446557110.11363636363636363636363636363636363636
69,2020-03-10,1513333333.3333333,121543118535088008857786.71111111111111111111111111111111111111
70,2020-03-11,1497959183.6734693,36742717140283080436752.24489795918367346938775510204081632653
71,2020-03-12,1500000000.0,65948198132943769792672.51308900523560209424083769633507853403
72,2020-03-13,1508858267.7165353,129336426148068120062998.07086614173228346456692913385826771654
