,date,avg_gas_price_in_wei,avg_value_in_wei
0,2021-11-11,765119.5654008439,331926863572492.25
1,2021-11-12,933287.7898297176,3.0948515075763548e+16
2,2021-11-13,907388.9349200923,4.697501193603557e+16
3,2021-11-14,911490.9524058576,4.682569685607953e+16
4,2021-11-15,931613.2668231613,5.0188731916377656e+16
5,2021-11-16,966242.4598360461,4.537861495092711e+16
6,2021-11-17,965290.1904067871,6.958984199634351e+16
7,2021-11-18,988097.1892480014,4.878154367678425e+16
8,2021-11-19,956905.07698111,1.2109654764431294e+17
9,2021-11-20,904776.2557568314,6.276617436440657e+16
10,2021-11-21,917397.4732895368,5.878494156608153e+16
11,2021-11-22,943299.6237534762,9.034986906582928e+16
12,2021-11-23,943984.3240486588,1.447838014604094e+17
13,2021-11-24,940068.7255893322,5.701963542917064e+16
14,2021-11-25,932786.6741480232,5.191409113276464e+16
15,2021-11-26,985419.1407122831,4.94356718849341e+16
16,2021-11-27,925381.6749571472,2.8032656719972644e+16
17,2021-11-28,939727.1603135982,3.669226994835916e+16
18,2021-11-29,930958.691178149,4.218221754990668e+16
19,2021-11-30,951652.9697870631,4.394175917603399e+16
20,2021-12-01,946396.294342762,4.930547755710159e+16
21,2021-12-02,941496.7669197539,5.492448349442194e+16
22,2021-12-03,951955.8040408115,3.972260737375517e+16
23,2021-12-04,1247821.694241718,3.795816334246386e+16
24,2021-12-05,958491.9048312643,2.2257833060218776e+16
25,2021-12-06,995114.8825601112,3.1020844751430444e+16
26,2021-12-07,982326.27340141,5.2417021638161144e+16
27,2021-12-08,964649.2090425264,4.382913206554516e+16
28,2021-12-09,951464.0252380952,4.839339720826669e+16
29,2021-12-10,7266456.0404496975,4.820927488377712e+16
30,2021-12-11,3969560.1299281134,2.70457462139468e+16
31,2021-12-12,5427656.3728251355,3.1795550450305224e+16
32,2021-12-13,8909548.59390974,4.110594708928274e+16
33,2021-12-14,12193210.176976265,5.754622583715434e+16
34,2021-12-15,33730048.11243449,5.064642880709258e+16
35,2021-12-16,75971259.76842286,5.319899070274325e+16
36,2021-12-17,46841537.081619695,4.307247337660085e+16
37,2021-12-18,38461644.8603032,4.473712758474733e+16
38,2021-12-19,47810578.31189803,4.370189351205868e+16
39,2021-12-20,35861841.28122769,5.55704356430998e+16
40,2021-12-21,102160576.51290272,4.604259463975666e+16
41,2021-12-22,47021397.98212968,5.177913095924986e+16
42,2021-12-23,27260085.9807884,3.5126777350353856e+16
43,2021-12-24,37405797.161753125,3.2596991400132052e+16
44,2021-12-25,53936967.57883268,3.583677885524449e+16
45,2021-12-26,37948784.30336564,1.0233493294701544e+17
46,2021-12-27,45831953.58706112,1.2950508835872802e+17
47,2021-12-28,57891147.871376805,4.814562376878076e+16
48,2021-12-29,72663301.07011159,2.88701910683844e+16
49,2021-12-30,33007204.18054436,2.6474379969104104e+16
50,2021-12-31,43929556.3761341,4.224461803896913e+16
51,2022-01-01,29914751.661674634,2.702329229524631e+16
52,2022-01-02,80952443.26182118,4.612585232577681e+16
53,2022-01-03,102689356.78119633,4.0233155546335144e+16
54,2022-01-04,26921371.62543696,2.4526786343493244e+16
55,2022-01-05,60934834.08272788,5.782666967624545e+16
56,2022-01-06,27664269.599455353,5.474864281106678e+16
57,2022-01-07,32003885.25959196,5.868572760814304e+16
58,2022-01-08,8716384.291855417,3.774726270147379e+16
59,2022-01-09,7788194.691041999,3.414273556906449e+16
60,2022-01-10,5965750.146304931,5.912666512137805e+16
61,2022-01-11,8995282.956915598,3.5474496433096372e+16
62,2022-01-12,12621216.186897192,5.542418718496594e+16
63,2022-01-13,38211610.77607234,2.992272264952639e+16
64,2022-01-14,16618111.715468986,3.4367737772412696e+16
65,2022-01-15,19050956.26203184,4.0324655176845704e+16
66,2022-01-16,19973806.93041505,3.949155811353124e+16
67,2022-01-17,15016950.753043408,5.479896868334648e+16
68,2022-01-18,13706716.330411548,1.5326522196210275e+17
69,2022-01-19,29552225.40961323,2.2049225506190832e+17
70,2022-01-20,25326471.889116287,2.2419439001703997e+17
71,2022-01-21,13228441.560283994,1.0907363394010494e+17
72,2022-01-22,5163325.877473707,5.506070089323695e+16
73,2022-01-23,14119893.784490531,3.4677612926141188e+16
74,2022-01-24,13418893.470943717,5.947198428904512e+16
75,2022-01-25,10038384.370632296,7.133031960285137e+16
76,2022-01-26,8106725.70540424,7.128429709747876e+16
77,2022-01-27,8524622.430376852,4.330198295851593e+16
78,2022-01-28,5990541.020468771,4.234250471730216e+16
79,2022-01-29,3776555.2453398057,3.3509059435528932e+16
80,2022-01-30,6430851.539167434,4.209619084841498e+16
81,2022-01-31,5741624.997842559,2.8565997702670664e+16
82,2022-02-01,15215009.608348573,4.5424927978227304e+16
83,2022-02-02,13946860.19631328,3.99322790475099e+16
84,2022-02-03,14376752.127595168,5.337369962498658e+16
85,2022-02-04,9430243.369708976,3.893080159426096e+16
86,2022-02-05,15221847.824158298,3.4631694475981944e+16
87,2022-02-06,10619430.703698313,2.363770948354513e+16
88,2022-02-07,14450723.378891729,4.481306292375331e+16
89,2022-02-08,10565396.181435335,2.819680843255181e+16
90,2022-02-09,12315817.606557906,4.237832819178173e+16
91,2022-02-10,9898988.035394512,4.969834894078663e+16
92,2022-02-11,8608501.05369681,5.952695715571154e+16
93,2022-02-12,8904731.803687094,2.7850307426422696e+16
94,2022-02-13,10695623.441363033,2.9900178133301348e+16
95,2022-02-14,70436554.46610902,3.194664438798067e+16
96,2022-02-15,6841148.639455152,9.701519724533296e+16
97,2022-02-16,5816539.706623104,2.8907300952551036e+16
98,2022-02-17,6135246.125448383,5.13429805484653e+16
99,2022-02-18,15418779.354969284,5.403053844803545e+16
100,2022-02-19,18605502.07117676,5.478941010172625e+16
101,2022-02-20,15743095.674440464,4.239191063911386e+16
102,2022-02-21,7718012.764588771,7.02388574964966e+16
103,2022-02-22,3554755.769194152,3.901866362617553e+16
104,2022-02-23,4641601.090698703,3.192557346723825e+16
105,2022-02-24,3051082.9465120444,4.199657245758845e+16
106,2022-02-25,3934035.9214100745,1.0018364275033613e+17
107,2022-02-26,3789842.44610042,3.2695197071466184e+16
108,2022-02-27,4450254.386096257,4.873520216469215e+16
109,2022-02-28,6216695.522612704,3.493230718264528e+16
110,2022-03-01,5722441.149963689,4.347146381036567e+16
111,2022-03-02,8951258.354451345,3.204307524156444e+16
112,2022-03-03,6311915.061377746,2.705358810135197e+16
113,2022-03-04,4840467.911214819,5.695887905429772e+16
114,2022-03-05,8663107.463321436,2.64879767040185e+16
115,2022-03-06,8074604.916012614,6.790493653071376e+16
116,2022-03-07,7679905.951910408,4.759159940224474e+16
117,2022-03-08,21147051.530288603,3.267285309236805e+16
118,2022-03-09,3550698.9658349836,2.6403241149789828e+16
119,2022-03-10,4856521.117208964,1.852901929252396e+16
120,2022-03-11,919608065.5349063,2.572300844318753e+16
121,2022-03-12,11366022.470046494,2.6760474183125304e+16
122,2022-03-13,6990490.176178009,9.378062382250227e+16
123,2022-03-14,10263080.372864675,1.5722731278567133e+17
124,2022-03-15,12799266.164904786,1.760778739662546e+17
125,2022-03-16,21151621.669218488,2.9751547105442104e+16
126,2022-03-17,6536237.59845286,3.976058675574553e+16
127,2022-03-18,6627063.561693936,4.509994429522376e+16
128,2022-03-19,24379899.70885385,8.50487262981084e+16
129,2022-03-20,30452101.548501626,2.6368854004187456e+16
130,2022-03-21,15329940.536127126,2.2594688900619304e+16
131,2022-03-22,34243302.208748445,3.3567763043958344e+16
132,2022-03-23,36277752.12426021,2.193006376729414e+16
133,2022-03-24,52962938.76242024,2.821661936310016e+16
134,2022-03-25,19427109.796635225,4.710964867918332e+16
135,2022-03-26,22732439.756802887,3.4636402233636416e+16
136,2022-03-27,19828716.92739413,2.081024108143953e+16
137,2022-03-28,35691012.899762146,3.564262280072685e+16
138,2022-03-29,22068180.397602648,1.995688751259427e+16
139,2022-03-30,10916808.79600434,2.1104828069004824e+16
140,2022-03-31,11631165.442262504,3.0063985424830776e+16
141,2022-04-01,7619250.140294505,4.2407472653506824e+16
142,2022-04-02,20216777.82195511,2.667695287735056e+16
143,2022-04-03,11853520.216240533,3.2808025506599548e+16
144,2022-04-04,6669829.588026764,2.449490404892512e+16
145,2022-04-05,8998002.124072166,2.6813277001517956e+16
146,2022-04-06,4161813.706207659,2.698272930696526e+16
147,2022-04-07,8806907.444925407,2.3178362869183664e+16
148,2022-04-08,6490334.099022074,2.305490281597857e+16
149,2022-04-09,8439397.61887691,7.514083020698138e+16
150,2022-04-10,9586720.776416669,5.340935994848054e+16
151,2022-04-11,7361842.139173597,3.652060533442797e+16
152,2022-04-12,14801794.1582293,4.792207740573736e+16
153,2022-04-13,22521462.75164544,3.5620826074260268e+16
154,2022-04-14,30036904.879078694,5.842790700558289e+16
155,2022-04-15,16564913.828728408,2.699631356825056e+16
156,2022-04-16,18450485.651770756,2.4127880723062936e+16
157,2022-04-17,29587914.38613525,5.180497820632341e+16
158,2022-04-18,25185610.059843905,4.549041240231588e+16
159,2022-04-19,15999827.983239204,5.8025953136414184e+16
160,2022-04-20,21439023.15258037,9.684071582164766e+16
161,2022-04-21,16394424.884932768,1.3317629656071469e+17
162,2022-04-22,12279111.97473659,6.3247341426309176e+16
163,2022-04-23,16035972.346449995,4.573776123296728e+16
164,2022-04-24,26671702.096833847,5.171811788904569e+16
165,2022-04-25,17434995.968098987,5.3673313659936696e+16
166,2022-04-26,17872551.576944813,1.2921072577544992e+17
167,2022-04-27,16999494.239711575,6.044699150961151e+16
168,2022-04-28,13612947.622215178,3.5103722542414824e+16
169,2022-04-29,36205873.86221991,3.91764451737836e+16
170,2022-04-30,18537545.330219727,2.612174872662865e+16
171,2022-05-01,8031860.225508884,3.498681471297728e+16
172,2022-05-02,9600716.97086463,2.9839761157735336e+16
173,2022-05-03,5818432.63074582,4.259570335717221e+16
174,2022-05-04,15277602.463573702,3.8287978083012296e+16
175,2022-05-05,6039125.677658019,3.1494245905776572e+16
176,2022-05-06,5977219.342422873,2.4185049293398816e+16
177,2022-05-07,14718567.338056376,2.999271839657562e+16
178,2022-05-08,7780064.535041541,2.823172378594956e+16
179,2022-05-09,9491973.456694312,3.28383460020724e+16
180,2022-05-10,5056783.58725073,2.085557404709277e+16
181,2022-05-11,8216047.973098846,1.874996723341868e+16
182,2022-05-12,5707983.558498964,2.9467166787256064e+16
183,2022-05-13,3757932.327284916,2.5686970924912976e+16
184,2022-05-14,5901145.26919132,1.7751115966819816e+16
185,2022-05-15,10664996.677811088,2.554340328512081e+16
186,2022-05-16,10381266.151818264,2.7829527492692984e+16
187,2022-05-17,10882869.253319208,2.583435517023655e+16
188,2022-05-18,16991327.594905578,3.226621929923294e+16
189,2022-05-19,14301088.143996112,2.720217232067904e+16
190,2022-05-20,10653364.635974169,2.5759191113634964e+16
191,2022-05-21,21037815.796618752,2.9102340522860452e+16
