,date,avg_gas_price_in_wei,avg_value_in_wei
0,2020-05-30,2687500000.0,5.06875e+17
1,2020-06-12,625000000.0,1.5125e+17
2,2020-06-15,10500000000.0,3.784709642773637e+17
3,2020-06-16,1000000000.0,1e+17
4,2020-06-18,21647058823.529408,2.058823529411765e+16
5,2020-06-19,25605882512.764706,6.314705882352941e+17
6,2020-06-20,12931203886.213114,3.9922783887213783e+18
7,2020-06-21,8880000598.933332,8.746666666666665e+17
8,2020-06-23,10800000842.25,3.2125e+17
9,2020-06-24,0.0,0.0
10,2020-06-27,45000000000.0,9e+17
11,2020-06-28,0.0,0.0
12,2020-06-29,1600000124.7777777,2.2222222222222223e+18
13,2020-06-30,9600000748.666666,7.89374511111111e+16
14,2020-07-01,0.0,0.0
15,2020-07-02,9600000748.666666,3.333333333333333e+17
16,2020-07-03,30125000000.291664,2.708333333333333e+17
17,2020-07-04,21600000000.0,0.0
18,2020-07-05,10000000000.0,0.0
19,2020-07-06,25125000146.5,0.0
20,2020-07-07,26142857421.142857,2.380952380952381e+18
21,2020-07-08,28428571428.571426,1.8571428571428567e+18
22,2020-07-09,6953846672.153847,1.5384615384615386e+17
23,2020-07-10,0.0,0.0
24,2020-07-11,13111865244.271187,6.066202671392803e+17
25,2020-07-12,16300000374.333332,6.665150383016102e+18
26,2020-07-13,13142857142.857141,2.857142857142857e+17
27,2020-07-14,0.0,0.0
28,2020-07-15,21500000000.0,1.6e+18
29,2020-07-16,10172413793.103449,3.1034482758620685e+17
30,2020-07-17,6590909090.90909,1.0486363636363637e+19
31,2020-07-18,5250000000.0,3.025e+18
32,2020-07-19,1094756790.9046113,0.0
33,2020-07-20,1615781710.9144542,7.754034138662231e+17
34,2020-07-21,2307588075.880759,7.452574525745258e+16
35,2020-07-22,4748979591.836735,1.673469387755102e+17
36,2020-07-23,5509037304.452466,9.755496270082824e+18
37,2020-07-24,1100226688.831797,1.1217299129754504e+18
38,2020-07-25,2373711340.2061853,5.463906968408351e+18
39,2020-07-26,2130198915.0090413,4.509017021485605e+18
40,2020-07-27,8954467353.951889,4.242918933343615e+18
41,2020-07-28,3109289617.4863386,1.2454217493246558e+19
42,2020-07-29,4383082706.766917,3.03215526213188e+19
43,2020-07-30,1700782778.8649707,5.906648960711429e+18
44,2020-07-31,3666352941.176471,8.250697990117646e+18
45,2020-08-01,20956957983.19328,2.0561118973917925e+20
46,2020-08-02,5660315625.0,2.4017786470711715e+20
47,2020-08-03,14741112877.583464,2.4711372231390138e+20
48,2020-08-04,6547674418.604651,5.277000036640761e+20
49,2020-08-05,3823622047.2440944,1.224441575849352e+20
50,2020-08-06,6535745140.388769,2.2760366483590303e+20
51,2020-08-07,12845220966.084276,2.8918359190180187e+20
52,2020-08-08,6849447236.180904,2.298761532066488e+20
53,2020-08-09,4884669338.677355,1.8601204817250304e+20
54,2020-08-10,7663901147.396293,1.2301733625402837e+20
55,2020-08-11,4349880857.823669,1.9421894464043408e+20
56,2020-08-12,11258488964.346348,9.19354125356281e+19
57,2020-08-13,2442115222.8763666,4.058632656903333e+19
58,2020-08-14,5317515701.566643,1.0606883525589095e+20
59,2020-08-15,6065244667.647428,1.43383618578926e+20
60,2020-08-16,2567461197.5559864,6.561273467519846e+19
61,2020-08-17,2562061711.1202664,7.174826095485945e+19
62,2020-08-18,3465005018.508531,1.8505541809883496e+19
63,2020-08-19,2355889423.196715,3.1631311044238746e+19
64,2020-08-20,5731997414.484162,9.839028267484127e+19
65,2020-08-21,7098648648.648649,1.4613959901862588e+20
66,2020-08-22,4451366120.218579,4.663126934937161e+19
67,2020-08-23,3471856725.1461987,4.909329722941032e+19
68,2020-08-24,4848068350.668648,6.313546886726124e+19
69,2020-08-25,7179394338.380513,2.8775525372848185e+19
70,2020-08-26,5702741290.691033,2.0982165864800997e+19
71,2020-08-27,5048034934.497817,3.6803587649439502e+19
72,2020-08-28,5461246200.6079035,5.963267081668756e+19
73,2020-08-29,3886277001.270648,4.851318286356022e+19
74,2020-08-30,7148215919.487649,2.2140219046698513e+20
