,date,avg_fee,avg_value
0,2021-01-02,,3925560596.44474
1,2021-01-03,,3889682470.869996
2,2021-01-04,,5119246783.260147
3,2021-01-05,,5662203967.0450115
4,2021-01-06,,4529735116.913513
5,2021-01-07,,6493946853.453355
6,2021-01-08,,3334052260.6582465
7,2021-01-09,,2364352579.2434764
8,2021-01-10,,12606191451.725763
9,2021-01-11,,2449283283.988648
10,2021-01-12,,1969251195.2311687
11,2021-01-13,,2887905865.4842024
12,2021-01-14,,2028214290.4414608
13,2021-01-15,,1573401059.0785432
14,2021-01-16,,1744186102.2842276
15,2021-01-17,,2016476415.4635143
16,2021-01-18,,2240235834.1351957
17,2021-01-19,,3392320044.247981
18,2021-01-20,,2666697573.3568974
19,2021-01-21,,2694656583.6291046
20,2021-01-22,,2805337612.8267827
21,2021-01-23,,2127564677.4777656
22,2021-01-24,,2571474425.8286686
23,2021-01-25,,3811675265.342371
24,2021-01-26,,569873875539.8729
25,2021-01-27,,2438082325.65128
26,2021-01-28,,1992869506.1764612
27,2021-01-29,,2200911096.3280096
28,2021-01-30,,2706396127.149414
29,2021-01-31,,1934060645.027892
30,2021-02-01,,2028160258.8935788
31,2021-02-02,,2335176993.953632
32,2021-02-03,,723978555242.5797
33,2021-02-04,,50199882580.5302
34,2021-02-05,,4644104969.443909
35,2021-02-06,,1232914949928.0552
36,2021-02-07,,33957922043.105392
37,2021-02-08,,118441458986.28656
38,2021-02-09,,3716560990.0151353
39,2021-02-10,,4126352026.524653
40,2021-02-11,,2457717492.8524
41,2021-02-12,,3190356578.2482886
42,2021-02-13,,3571646358.4923506
43,2021-02-14,,3279448880.545117
44,2021-02-15,,1228526022.5557861
45,2021-02-16,,2650368894.745014
46,2021-02-17,,1955317252.697986
47,2021-02-18,,1894568999.226571
48,2021-02-19,,2374112659.6666927
49,2021-02-20,,2853392736.4859877
50,2021-02-21,,53013990761.67716
51,2021-02-22,,14293462936.562986
52,2021-02-23,,3431948115.515522
53,2021-02-24,,33951360792.6965
54,2021-02-25,,17340225721.73998
55,2021-02-26,,43326772779.50954
56,2021-02-27,,20304569833.50276
57,2021-02-28,,22080942930.637184
58,2021-03-01,,24504510164.381294
59,2021-03-02,,227370019479.213
60,2021-03-03,,16709720201.41396
61,2021-03-04,,12613922496.072344
62,2021-03-05,,9805013926.1056
63,2021-03-06,,14069501940.555172
64,2021-03-07,,9324765330.05884
65,2021-03-08,,8069337967.182541
66,2021-03-09,,5423120229.9777565
67,2021-03-10,,4994583574.529169
68,2021-03-11,,8767892213.278543
69,2021-03-12,,10179840709.174437
70,2021-03-13,,8685976326.879055
71,2021-03-14,,12340682936.834688
72,2021-03-15,,10212989671.12321
73,2021-03-16,,12159617916.936798
74,2021-03-17,,29351219250.803967
75,2021-03-18,,489975135998.05646
76,2021-03-19,,9358854727.770657
77,2021-03-20,,12937627867.21656
78,2021-03-21,,15134741717.538197
79,2021-03-22,,11332614296.883707
80,2021-03-23,,13879105559.73786
81,2021-03-24,,14049737541.445585
82,2021-03-25,,12287485835.16678
83,2021-03-26,,9120127026.834858
84,2021-03-27,,12957661605.511568
85,2021-03-28,,1179710782610.5957
86,2021-03-29,,42496803844.00908
87,2021-03-30,,20431240854.482685
88,2021-03-31,,2210117774306.673
89,2021-04-01,,283457384966.22504
90,2021-04-02,,904997721902.741
91,2021-04-03,,1392952992839.748
92,2021-04-04,,19478689372.503963
