,date,avg_gas_price_in_wei,avg_value_in_wei
0,2020-01-01,10.0,9543283905.60986
1,2020-01-02,10.0,3297426341.333404
2,2020-01-03,10.0,12786687544.15634
3,2020-01-04,10.0,156041217111.58655
4,2020-01-05,10.0,5783720644.12737
5,2020-01-06,10.0,3871624212.6640553
6,2020-01-07,10.0,5956210839.558529
7,2020-01-08,10.0,141075378109.95328
8,2020-01-09,10.0,8633327806.536613
9,2020-01-10,10.0,5476838129.596537
10,2020-01-11,10.0,16770777317.18509
11,2020-01-12,10.0,12251272685.446428
12,2020-01-13,10.0,13068013105.089079
13,2020-01-14,10.0,13403981948.463182
14,2020-01-15,10.0,13515886365.90476
15,2020-01-16,10.0,7542408965.327986
16,2020-01-17,10.0,9347744460.261087
17,2020-01-18,10.0,7155359759.263074
18,2020-01-19,10.0,8615264087.093182
19,2020-01-20,10.0,6018209122.248275
20,2020-01-21,10.0,11915451217.26586
21,2020-01-22,10.0,15722863076.41248
22,2020-01-23,10.0,207797116572.65576
23,2020-01-24,10.0,40357032797.4754
24,2020-01-25,10.0,4006243754.143956
25,2020-01-26,10.0,3029620410.680849
26,2020-01-27,10.0,10594140508.199284
27,2020-01-28,10.0,3534679708.761972
28,2020-01-29,10.0,5653264989.864182
29,2020-01-30,10.0,39010819668.86137
30,2020-01-31,10.0,11537309543.338505
31,2020-02-01,10.0,7331663913.443132
32,2020-02-02,10.0,13099784168.792624
33,2020-02-03,10.0,21153239188.25408
34,2020-02-04,10.0,8750119557.338884
35,2020-02-05,10.0,40680699350.356155
36,2020-02-06,10.0,32677649998.99733
37,2020-02-07,10.0,155861772006.27863
38,2020-02-08,10.0,18902756204.843994
39,2020-02-09,10.0,16374405811.076412
40,2020-02-10,10.0,18212621204.234303
41,2020-02-11,10.0,22387841308.383465
42,2020-02-12,10.0,25466083841.742363
43,2020-02-13,10.0,37488056649.736336
44,2020-02-14,10.0,36565074977.5664
45,2020-02-15,10.0,27556032628.648083
46,2020-02-16,10.0,19880650162.358776
47,2020-02-17,10.0,14491682132.362564
48,2020-02-18,10.0,40035921504.329445
49,2020-02-19,10.0,16227163184.63141
50,2020-02-20,10.0,24722191573.166496
51,2020-02-21,10.0,9018263252.597622
52,2020-02-22,10.0,5998409809.086556
53,2020-02-23,10.0,10187564488.785162
54,2020-02-24,10.0,7676509628.440832
55,2020-02-25,10.0,15231482886.698174
56,2020-02-26,10.0,17905794855.702084
57,2020-02-27,10.0,13176652325.621996
58,2020-02-28,10.0,9820292807.527163
59,2020-02-29,10.0,61380496655.658775
60,2020-03-01,10.0,7013194443.27944
61,2020-03-02,10.0,4399459095.078472
62,2020-03-03,10.0,6160549942.679102
63,2020-03-04,10.0,9295261418.158863
64,2020-03-05,10.0,5761329911.25029
65,2020-03-06,10.0,15936406396.599293
66,2020-03-07,10.0,5240168173.881791
67,2020-03-08,10.0,230163788134.21176
68,2020-03-09,10.0,221536673726.41125
69,2020-03-10,10.0,47398481608.55584
70,2020-03-11,10.0,7765304908.797842
71,2020-03-12,10.0,17076577539.342785
72,2020-03-13,10.0,143080626986.46463
73,2020-03-14,10.0,77913792036.6953
74,2020-03-15,10.0,7118301848.739555
75,2020-03-16,10.0,9190655401.374771
76,2020-03-17,10.0,6510563079.504154
77,2020-03-18,10.0,5090276007.311975
78,2020-03-19,10.0,8195501221.449119
79,2020-03-20,10.0,96624092104.56519
80,2020-03-21,10.0,5360611823.938728
81,2020-03-22,10.0,6002266693.531726
82,2020-03-23,10.0,8555830936.483576
83,2020-03-24,10.0,6705756054.352339
84,2020-03-25,10.0,11935916283.04932
85,2020-03-26,10.0,7772270736.867072
86,2020-03-27,10.0,10974361105.873297
87,2020-03-28,10.0,43821801287.211975
88,2020-03-29,10.0,2514222164.589864
89,2020-03-30,10.0,16969144253.21634
90,2020-03-31,10.0,8523224930.435227
91,2020-04-01,10.0,26363479763.908924
92,2020-04-02,10.0,15861815774.006645
93,2020-04-03,10.0,8987071639.81858
94,2020-04-04,10.0,13515271063.731428
95,2020-04-05,10.0,171946832996.63672
96,2020-04-06,10.0,6733934412.0593605
97,2020-04-07,10.0,17674721804.238415
98,2020-04-08,10.0,24810802128.597237
99,2020-04-09,10.0,3752598935.704512
100,2020-04-10,10.0,358847449933.28143
101,2020-04-11,10.0,5025001968.877047
102,2020-04-12,10.0,7626426106.701768
103,2020-04-13,10.0,15007034422.942045
104,2020-04-14,10.0,87258616332.76425
105,2020-04-15,10.0,79477744493.6957
106,2020-04-16,10.0,4602208738.357562
107,2020-04-17,10.0,909864660197.4248
108,2020-04-18,10.0,3803679335.373339
109,2020-04-19,10.0,2743671911.610912
110,2020-04-20,10.0,4606330472.447617
111,2020-04-21,10.0,2415184056.9124103
112,2020-04-22,10.0,21481342223.75908
113,2020-04-23,10.0,81714796493.69106
114,2020-04-24,10.0,76119804265.68985
115,2020-04-25,10.0,8669263402.869759
116,2020-04-26,10.0,20628119536.75156
117,2020-04-27,10.0,38955464374.53175
118,2020-04-28,10.0,9843473326.20803
119,2020-04-29,10.0,22062468393.75545
120,2020-04-30,10.0,12980983206.82414
121,2020-05-01,10.0,14870667838.601707
122,2020-05-02,10.0,12586913469.745602
123,2020-05-03,10.0,18274370594.405327
124,2020-05-04,10.0,49723191858.78008
125,2020-05-05,10.0,36549836210.085365
126,2020-05-06,10.0,28138276668.26744
127,2020-05-07,10.0,112843275737.21075
128,2020-05-08,10.0,18562652067.757103
129,2020-05-09,10.0,7763702958.72689
130,2020-05-10,10.0,15469445801.719479
131,2020-05-11,10.0,96022971572.59344
132,2020-05-12,10.0,25948368144.431377
133,2020-05-13,10.0,21481985738.29213
134,2020-05-14,10.0,12522295369.74884
135,2020-05-15,10.0,6476314532.890563
136,2020-05-16,10.0,6357053619.839197
137,2020-05-17,10.0,6464649784.595256
138,2020-05-18,10.0,10827567001.263285
139,2020-05-19,10.0,20926830736.94716
140,2020-05-20,10.0,24307883992.028564
141,2020-05-21,10.0,8848714011.612652
142,2020-05-22,10.0,11206084724.20042
143,2020-05-23,10.0,12619929064.224726
144,2020-05-24,10.0,18943434841.20549
145,2020-05-25,10.0,14539163173.378923
146,2020-05-26,10.0,8709182777.228682
147,2020-05-27,10.0,6552334992.86778
148,2020-05-28,10.0,11742959203.203535
149,2020-05-29,10.0,7930069593.472912
150,2020-05-30,10.0,13701127349.755705
151,2020-05-31,10.0,11791043753.801891
152,2020-06-01,10.0,30900170760.43902
153,2020-06-02,10.0,1086067944365.1108
154,2020-06-03,10.0,19285276046.890827
155,2020-06-04,10.0,13339075518.411264
156,2020-06-05,10.0,1051090715882.9584
157,2020-06-06,10.0,8689969115.806074
158,2020-06-07,10.0,8456091994.318824
159,2020-06-08,10.0,10654095773.960213
160,2020-06-09,10.0,6952419334.695248
161,2020-06-10,10.0,96496872344.40395
162,2020-06-11,10.0,12781134457.988895
163,2020-06-12,10.0,9381389178.665289
164,2020-06-13,10.0,7396287770.159147
165,2020-06-14,10.0,5073801909.399183
166,2020-06-15,10.0,9434241280.436016
167,2020-06-16,10.0,7849368029.68685
168,2020-06-17,10.0,9976918453.739838
169,2020-06-18,10.0,5276287464.176131
170,2020-06-19,10.0,9907230389.0372
171,2020-06-20,10.0,4271579921.078876
172,2020-06-21,10.0,6156131900.492039
173,2020-06-22,10.0,9448326556.83346
174,2020-06-23,10.0,88553195657.00125
175,2020-06-24,10.0,4788975522.196848
176,2020-06-25,10.0,3784373580.852003
177,2020-06-26,10.0,8256978667.857452
178,2020-06-27,10.0,17988937746.34045
179,2020-06-28,10.0,47437486678.77269
180,2020-06-29,10.0,6365098095.970569
181,2020-06-30,10.0,5243748245.503056
182,2020-07-01,10.0,17959214227.498215
183,2020-07-02,10.0,36724606214.301346
184,2020-07-03,10.0,19389673373.473927
185,2020-07-04,10.0,7125194606.262712
186,2020-07-05,10.0,162676598023.14737
187,2020-07-06,10.0,25615744957.67264
188,2020-07-07,10.0,7716398971.809533
189,2020-07-08,10.0,13919923881651.17
190,2020-07-09,10.0,16804254265.300808
191,2020-07-10,10.0,38265311790.20409
192,2020-07-11,10.0,4736553223.46574
193,2020-07-12,10.0,2955380359.030662
194,2020-07-13,10.0,5674356051.8723135
195,2020-07-14,10.0,9725982661.655033
196,2020-07-15,10.0,4882979018.200417
197,2020-07-16,10.0,171684777622.93475
198,2020-07-17,10.0,50807414245.7608
199,2020-07-18,10.0,65888494217.208725
200,2020-07-19,10.0,4974260499.12818
201,2020-07-20,10.0,65598399060.68953
202,2020-07-21,10.0,652781368328.7118
203,2020-07-22,10.0,7569353721.323666
204,2020-07-23,10.0,7943317870.298499
205,2020-07-24,10.0,71738372410.18578
206,2020-07-25,10.0,8989980608.579735
207,2020-07-26,10.0,6991742481.656816
208,2020-07-27,10.0,10735723799.280329
209,2020-07-28,10.0,8685227653.968487
210,2020-07-29,10.0,20103048102.793457
211,2020-07-30,10.0,8565583693.434519
212,2020-07-31,10.0,7170644751.912857
213,2020-08-01,10.0,7551800821.885879
214,2020-08-02,10.0,8433197409.544913
215,2020-08-03,10.0,13291873001.846832
216,2020-08-04,10.0,10496112339.090094
217,2020-08-05,10.0,9238031811.337408
218,2020-08-06,10.0,607752355904.9639
219,2020-08-07,10.0,15029643980.052343
220,2020-08-08,10.0,19658831629.929665
221,2020-08-09,10.0,19095780850.142273
222,2020-08-10,10.0,31447617271.992767
223,2020-08-11,10.0,155254200439.97513
224,2020-08-12,10.0,21379632926.12433
225,2020-08-13,10.0,25935242060.27241
226,2020-08-14,10.0,25062225830.55083
227,2020-08-15,10.0,20304877569.811367
228,2020-08-16,10.0,45401367928.81728
229,2020-08-17,10.0,50520602452.85236
230,2020-08-18,10.0,22421404075.61982
231,2020-08-19,10.0,15036196731.333076
232,2020-08-20,10.0,13973012500.90882
233,2020-08-21,10.0,12068676804.633663
234,2020-08-22,10.0,15680008633.934456
235,2020-08-23,10.0,10506686237.151272
236,2020-08-24,10.0,11855810161.127499
237,2020-08-25,10.0,151800435750.09595
238,2020-08-26,10.0,5199740549.022653
239,2020-08-27,10.0,54871664246.96136
240,2020-08-28,10.0,5478720598.285375
241,2020-08-29,10.0,52560103413.51167
242,2020-08-30,10.0,460071165198.7402
243,2020-08-31,10.0,15250983172.468325
244,2020-09-01,10.0,25624873700.162247
245,2020-09-02,10.0,127033925835.45522
